area_name,latitude,longitude,total_routes,grade_distribution,type_distribution,bbox,depth,is_leaf,url
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/13083138393
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/8249459382
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/8249459442
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/8249459502
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/10348367898
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/10348411758
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/10348414296
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/arctic-region/area/1049600319
Milne Land,70.79037669368,-26.22506083596,0,{},{},"71.2443555,-28.1469748,70.4220786,-24.6763341",3,0,https://www.thecrag.com/en/climbing/arctic-region/area/1049601222
Paul Stern Land,70.80848260000,-28.85009875000,0,{},{},"71.0847437,-29.5532227,70.5322215,-28.1469748",3,0,https://www.thecrag.com/en/climbing/arctic-region/area/1103604765
Rignys Bjerg,69.04791700000,-26.82106020000,2,"{""5.6"": 1}",{},"69.0847473,-26.9206238,69.0110867,-26.7214966",3,0,https://www.thecrag.com/en/climbing/arctic-region/area/219331392
Pyramiden,61.65124890000,-42.99568180000,1,"{""5.10c"": 1}",{},"61.6774955,-43.0375672,61.6250023,-42.9537964",3,0,https://www.thecrag.com/en/climbing/arctic-region/area/219333894
Boquete,8.80561145907,-82.45323803306,28,"{""5.7"": 1, ""5.8"": 1, ""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1, ""5.13a"": 1}",{},"8.8088768,-82.4564518,8.8024305,-82.4510719",3,0,https://www.thecrag.com/en/climbing/panama/area/853521810
Sector 1,14.49254419388,-90.60696825856,26,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1}",{},"14.4926784,-90.6071674,14.4924037,-90.6067321",3,0,https://www.thecrag.com/en/climbing/guatemala/area/773873541#t5399026572
Sector 2,14.49274620000,-90.60739220000,25,"{""5.9"": 1, ""5.10a"": 1, ""5.10c"": 1, ""5.11a"": 1, ""5.11c"": 1, ""5.12a"": 1, ""5.12c"": 1}",{},"14.4928657,-90.6076955,14.4926267,-90.6070889",3,0,https://www.thecrag.com/en/climbing/guatemala/area/775943877#t4911354243
Parque Paseo Del Lago Villa Nueva,15.74477885,-90.29115665,2,{},{},,3,0,https://www.thecrag.com/en/climbing/guatemala/area/11883648486#t11883660597
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/guatemala/area/4302368325
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/guatemala/area/5447131224
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/guatemala/area/5447131224
Error 404 (Not Found)!!1,,,0,{},{},,3,0,https://www.thecrag.com/en/climbing/cuba/area/5935032045
Jaguayana,22.61973284837,-83.72054682106,21,{},{},"22.6203258,-83.7209347,22.619147,-83.7201622",3,0,https://www.thecrag.com/en/climbing/cuba/area/14266507#t2514617469
