area_name,latitude,longitude,total_routes,grade_distribution,type_distribution,bbox,depth,is_leaf,url
Tourkovounia,38.00398229572,23.75696803295,81,{},"{""Sport"": {""count"": 3, ""pct"": ""100.0%""}}","38.0088031,23.7518345,37.999885,23.7633358",2,0,https://www.thecrag.com/en/climbing/greece/area/1448281935
Portes,38.49213135,22.3869418,75,{},"{""Sport"": {""count"": 3, ""pct"": ""100.0%""}}","38.4941047,22.3860627,38.490158,22.3878209",2,0,https://www.thecrag.com/en/climbing/greece/area/3072909303
Nestani,37.60530095,22.4458794,81,{},"{""Sport"": {""count"": 6, ""pct"": ""100.0%""}}","37.6101458,22.4323825,37.6004561,22.4593763",2,0,https://www.thecrag.com/en/climbing/greece/area/8656724676
Parnitha,38.16290785,23.7129966,723,{},"{""Sport"": {""count"": 5, ""pct"": ""62.5%""}, ""Trad"": {""count"": 3, ""pct"": ""37.5%""}}","38.1550624,23.6288316,38.0950957,23.7645353",2,0,https://www.thecrag.com/en/climbing/greece/area/2038815825
Penteli,38.08021715,23.894786,192,{},"{""Sport"": {""count"": 5, ""pct"": ""62.5%""}, ""Trad"": {""count"": 1, ""pct"": ""12.5%""}, ""Bouldering"": {""count"": 2, ""pct"": ""25.0%""}}","38.1144708,23.8372794,38.0459635,23.9522926",2,0,https://www.thecrag.com/en/climbing/greece/area/2038862826
Ymittos,37.90974815,23.79969635,552,{},"{""Sport"": {""count"": 9, ""pct"": ""75.0%""}, ""Trad"": {""count"": 3, ""pct"": ""25.0%""}}","38.0031612,23.7605576,37.8163351,23.8388351",2,0,https://www.thecrag.com/en/climbing/greece/area/1679687967
Aetofolia,38.09243422719,23.32845896102,51,{},"{""Sport"": {""count"": 3, ""pct"": ""100.0%""}}","38.0934531,23.3273532,38.091587,23.3292952",2,0,https://www.thecrag.com/en/climbing/greece/area/916872234
Chaos Lavrio,37.72086062807,24.02135852623,32,{},{},"37.721278,24.021,37.720442,24.0217135",2,0,https://www.thecrag.com/en/climbing/greece/area/1475237610
Keratea,37.78505848877,23.97162732758,44,{},{},"37.7853317,23.971305,37.7847904,23.9719348",2,0,https://www.thecrag.com/en/climbing/greece/area/13810641726
Daskaleio,37.83137160703,24.05827929655,38,{},{},"37.8322595,24.0578294,37.8305668,24.0587575",2,0,https://www.thecrag.com/en/climbing/greece/area/287615418
Etos,38.00189713594,23.95765619886,17,{},{},"38.002353,23.9571045,38.0014653,23.9581881",2,0,https://www.thecrag.com/en/climbing/greece/area/2038565700
Filopapou,37.96543373066,23.71751119889,32,{},"{""Sport"": {""count"": 2, ""pct"": ""100.0%""}}","37.9657813,23.717196,37.9651951,23.7180043",2,0,https://www.thecrag.com/en/climbing/greece/area/445196715
Iera Odos,38.03339312175,23.64279697957,78,{},"{""Sport"": {""count"": 8, ""pct"": ""100.0%""}}","38.0352145,23.639437,38.0318512,23.6452735",2,0,https://www.thecrag.com/en/climbing/greece/area/264875256
Kakia Thalassa,37.83277906822,24.04702941591,31,{},"{""Sport"": {""count"": 3, ""pct"": ""100.0%""}}","37.8339394,24.0458132,37.8315582,24.0486134",2,0,https://www.thecrag.com/en/climbing/greece/area/314972430
Zacharitsa,38.06384514978,23.69569612539,14,{},{},"38.0639002,23.69558,38.0637861,23.6958563",2,0,https://www.thecrag.com/en/climbing/greece/area/9055321749
Mavrosouvala,38.25165734709,23.80579887905,47,{},{},"38.2526593,23.8051201,38.2506373,23.8065011",2,0,https://www.thecrag.com/en/climbing/greece/area/321319218
Merenda,37.85388616913,23.99298461284,54,{},"{""Sport"": {""count"": 2, ""pct"": ""100.0%""}}","37.8602064,23.9815181,37.8475165,24.0045637",2,0,https://www.thecrag.com/en/climbing/greece/area/4763606640
Pateras - Rachi Ntoskouri,38.04519591848,23.36814384515,3,{},{},"38.0464113,23.3664445,38.0441512,23.3700065",2,0,https://www.thecrag.com/en/climbing/greece/area/3139824204
Pateras - Kandyli,38.05425123081,23.40926666183,9,{},{},"38.0568553,23.4058327,38.0518709,23.4145874",2,0,https://www.thecrag.com/en/climbing/greece/area/578736270
Varkiza,37.81505809765,23.82114770460,0,{},{},"37.8193072,23.8172138,37.8114418,23.8246811",2,0,https://www.thecrag.com/en/climbing/greece/area/311002260
INDOOR,38.07051780393,23.70724219788,0,{},{},"38.070576,23.707195,38.0704599,23.7072889",2,0,https://www.thecrag.com/en/climbing/greece/area/6796719249
No Biggie,37.92382350020,23.74819840407,0,{},{},"37.9239214,23.7480169,37.9237289,23.7483736",2,0,https://www.thecrag.com/en/climbing/greece/area/10567086663
Keratsini,37.978504,23.61931375,61,{},"{""Sport"": {""count"": 1, ""pct"": ""100.0%""}}","37.9796371,23.6172176,37.9773709,23.6214099",2,0,https://www.thecrag.com/en/climbing/greece/area/4014339903#t13600062873
Spilia,37.83277906822,24.04702941591,7,{},{},,2,0,https://www.thecrag.com/en/climbing/greece/area/314978736
El Moianès,41.79356556668,2.08319297288,1221,{},"{""Sport"": {""count"": 6, ""pct"": ""100.0%""}}","41.822454,1.9691168,41.7232692,2.2009988",2,0,https://www.thecrag.com/en/climbing/spain/barcelona-area/area/13360357389
Dreta,41.79259223939,2.07736511905,90,{},{},"41.7938904,2.075849,41.7912728,2.0789478",2,0,https://www.thecrag.com/en/climbing/spain/moia/area/13210669842
Mediterranean Region,36.76368902643,32.02139022916,2463,{},"{""Sport"": {""count"": 6, ""pct"": ""85.7%""}, ""Alpine"": {""count"": 1, ""pct"": ""14.3%""}}","38.3596483,27.2326994,35.8397834,36.6888676",2,0,https://www.thecrag.com/en/climbing/turkey/area/649593726
Beycik,36.48970616975,30.45667218431,60,{},"{""Sport"": {""count"": 6, ""pct"": ""100.0%""}}","36.4901065,30.4561675,36.4892741,30.4572028",2,0,https://www.thecrag.com/en/climbing/turkey/antalya/area/6264062958
